DOID	MeSH
DOID:0080903	D018242
DOID:0080909	D064129
DOID:0080912	C565185
DOID:0080913	C565035
DOID:0080914	C565184
DOID:0080915	D054747
DOID:0080918	D065706
DOID:0080933	D000075363
DOID:0080940	D056828
DOID:0080941	C538173
DOID:0080942	C538256
DOID:0080947	C000629404
DOID:0080990	C536883
DOID:0080998	D019283
DOID:0080999	D000081032
DOID:0081021	C536925
DOID:0081022	C563678
DOID:0081023	C566470
DOID:0081024	C566719
DOID:0081025	C566483
DOID:0081044	C538065
DOID:0081057	C548014
DOID:0081058	C548013
DOID:0081082	D015479
DOID:0081086	D015470
DOID:0081087	D015470
DOID:0081100	C536692
DOID:0081108	C536162
DOID:0081109	C565102
DOID:0081110	C536163
DOID:0081120	D049970
DOID:0081122	C535347
DOID:0081267	D006086
DOID:0081307	D008230
DOID:0081312	D016399
DOID:0081329	D005953
DOID:0081433	C537309
DOID:0081445	D006450
DOID:0081453	C538212
DOID:0081454	C564487
DOID:0090001	D058497
DOID:0090002	C536919
DOID:0090012	C537589
DOID:0090013	C563311
DOID:0090014	C563822
DOID:0090016	C535323
DOID:0090019	C537345
DOID:0090020	C574275
DOID:0090022	C574275
DOID:0090023	C574275
DOID:0090025	C574275
DOID:0090026	C574275
DOID:0090027	C574275
DOID:0090028	C535393
DOID:0090030	C565152
DOID:0090033	C536096
DOID:0090045	C564288
DOID:0090047	C567001
DOID:0090048	C567430
DOID:0090054	C567026
DOID:0090056	C538001
DOID:0090058	C536969
DOID:0090059	C564835
DOID:0090060	C536739
DOID:0090063	C567090
DOID:0090066	C536855
DOID:0090067	C538189
DOID:0090068	D056768
DOID:0090106	C535325
DOID:0090110	C580192
DOID:0090112	C536329
DOID:0090113	C567453
DOID:0090117	C536510
DOID:0090118	C535982
DOID:0090119	C535289
DOID:0090120	C563010
DOID:0090123	C537437
DOID:0090124	C536614
DOID:0090127	C537560
DOID:0090128	C535581
DOID:0090130	C567657
DOID:0090139	C536447
DOID:0090142	C535408
DOID:0090144	C536390
DOID:0090145	C535600
DOID:0110002	C562801
DOID:0110006	C565393
DOID:0110007	C536128
DOID:0110008	C536129
DOID:0110010	C564206
DOID:0110070	C536932
DOID:0110080	C565697
DOID:0110086	C566982
DOID:0110115	C565833
DOID:0110123	C537909
DOID:0110124	C537910
DOID:0110125	C537911
DOID:0110126	C537912
DOID:0110128	C565738
DOID:0110129	C565916
DOID:0110130	C565917
DOID:0110131	C565918
DOID:0110132	C565919
DOID:0110133	C565920
DOID:0110134	C565921
DOID:0110135	C567140
DOID:0110136	C567141
DOID:0110150	C537985
DOID:0110151	C537984
DOID:0110156	C537990
DOID:0110158	C535416
DOID:0110159	C537989
DOID:0110179	C537991
DOID:0110185	C535419
DOID:0110188	C567636
DOID:0110190	C535421
DOID:0110191	C535420
DOID:0110197	C564703
DOID:0110199	C564257
DOID:0110200	C564333
DOID:0110201	C564256
DOID:0110202	C564702
DOID:0110208	C535302
DOID:0110211	C535303
DOID:0110214	C562950
DOID:0110216	C564140
DOID:0110219	C567087
DOID:0110220	C567509
DOID:0110221	C567508
DOID:0110222	C567556
DOID:0110223	C567735
DOID:0110224	C567734
DOID:0110225	C567732
DOID:0110291	C565720
DOID:0110329	C565327
DOID:0110330	C567197
DOID:0110331	C565814
DOID:0110332	C565778
DOID:0110334	D010013
DOID:0110337	C565200
DOID:0110353	C566718
DOID:0110354	C566637
DOID:0110355	C563689
DOID:0110356	C563320
DOID:0110357	C565206
DOID:0110358	C563999
DOID:0110366	C563676
DOID:0110368	C564249
DOID:0110372	C566706
DOID:0110376	C567422
DOID:0110378	C567403
DOID:0110381	C563992
DOID:0110383	C564284
DOID:0110384	C566425
DOID:0110386	C567854
DOID:0110387	C566716
DOID:0110388	C566715
DOID:0110390	C538365
DOID:0110391	C563685
DOID:0110397	C563526
DOID:0110399	C567005
DOID:0110403	C564008
DOID:0110404	C563437
DOID:0110405	C566431
DOID:0110406	C564310
DOID:0110408	C563991
DOID:0110409	C567249
DOID:0110413	C564065
DOID:0110414	C564520
DOID:0110415	C567523
DOID:0110417	C564475
DOID:0110461	C580047
DOID:0110630	C565733
DOID:0110633	C535683
DOID:0110636	C537384
DOID:0110645	C563614
DOID:0110646	C565840
DOID:0110647	C566766
DOID:0110648	C566333
DOID:0110650	C567515
DOID:0110651	C567514
DOID:0110652	C567513
DOID:0110653	C567842
DOID:0110702	C567554
DOID:0110734	C538421
DOID:0110737	C548080
DOID:0110827	D052245
DOID:0110828	D052245
DOID:0110829	D052245
DOID:0110847	C536766
DOID:0110852	C537607
DOID:0110853	C537608
DOID:0110861	D017044
DOID:0110872	C563579
DOID:0110873	C563659
DOID:0110874	C565274
DOID:0110875	C564181
DOID:0110876	C563660
DOID:0110878	C566464
DOID:0110879	C563723
DOID:0110880	C564180
DOID:0110882	C565353
DOID:0110883	C567378
DOID:0110884	C567326
DOID:0110885	C567021
DOID:0110886	C563926
DOID:0110887	C567388
DOID:0110888	C567377
DOID:0110889	C565234
DOID:0110890	C567372
DOID:0110891	C565764
DOID:0110893	C567384
DOID:0110894	C567154
DOID:0110895	C567383
DOID:0110896	C567380
DOID:0110897	C567381
DOID:0110898	C567361
DOID:0110900	C563310
DOID:0110901	C567217
DOID:0110902	C567559
DOID:0110903	C564680
DOID:0110904	C564682
DOID:0110905	C567327
DOID:0110906	C567338
DOID:0110907	C564681
DOID:0110908	C567252
DOID:0110926	C538348
DOID:0110928	C538349
DOID:0110932	C538351
DOID:0110934	C565198
DOID:0110935	C538398
DOID:0110936	C538397
DOID:0110937	C536056
DOID:0110938	D010022
DOID:0110947	C536465
DOID:0110948	D014849
DOID:0110950	C536464
DOID:0110964	C537088
DOID:0110965	C537089
DOID:0110966	C537090
DOID:0110968	C537092
DOID:0110970	C537093
DOID:0110973	C535914
DOID:0110981	C567582
DOID:0110988	C536294
DOID:0110998	C536295
DOID:0110999	C536296
DOID:0111000	C537688
DOID:0111001	C537689
DOID:0111002	C566916
DOID:0111003	C567358
DOID:0111004	C567364
DOID:0111009	C563469
DOID:0111010	C563415
DOID:0111012	C566350
DOID:0111013	C565827
DOID:0111014	C565322
DOID:0111016	C567698
DOID:0111017	C564597
DOID:0111018	C563671
DOID:0111019	C567206
DOID:0111028	C537249
DOID:0111030	C537248
DOID:0111034	C537247
